date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1985-01-02,-1.124457895864328,-1.1005325281142397,NA,NA,1984-12-30,5.960235082562004,-0.16624190418186302,-0.17,-0.4,1985-01-01
1985-01-03,-0.4849303284492734,-0.4849303284492734,NA,NA,1984-12-30,5.960235082562004,-0.16624190418186302,-0.17,-0.4,1985-01-01
1985-01-04,-0.5422794705439493,-0.5301234183947123,NA,NA,1984-12-30,5.960235082562004,-0.16624190418186302,-0.17,-0.4,1985-01-01
1985-01-07,0.34155437169891556,0.34155437169891556,NA,NA,1985-01-06,5.960235082562004,-0.16624190418186302,-0.17,-0.44,1985-01-01
1985-01-08,-0.15233223089134995,-0.15233223089134995,NA,NA,1985-01-06,5.960235082562004,-0.16624190418186302,-0.17,-0.44,1985-01-01
1985-01-09,0.7230265159540394,0.7230265159540394,NA,NA,1985-01-06,5.960235082562004,-0.16624190418186302,-0.17,-0.44,1985-01-01
1985-01-10,1.8771759250681086,1.8771759250681086,NA,NA,1985-01-06,5.960235082562004,-0.16624190418186302,-0.17,-0.44,1985-01-01
1985-01-11,-0.23793598615764466,-0.23793598615764466,NA,NA,1985-01-06,5.960235082562004,-0.16624190418186302,-0.17,-0.44,1985-01-01
1985-01-14,1.5365771312603194,1.5365771312603194,NA,NA,1985-01-13,5.960235082562004,-0.16624190418186302,-0.17,-0.48,1985-01-01
1985-01-15,0.17578992347866418,0.17578992347866418,NA,NA,1985-01-13,5.960235082562004,-0.16624190418186302,-0.17,-0.48,1985-01-01
1985-01-16,0.22222465285590687,0.22222465285590687,NA,NA,1985-01-13,5.960235082562004,-0.16624190418186302,-0.17,-0.48,1985-01-01
1985-01-17,-0.26907246152756414,-0.26907246152756414,NA,NA,1985-01-13,5.960235082562004,-0.16624190418186302,-0.17,-0.48,1985-01-01
1985-01-18,0.3449855752044151,0.3449855752044151,NA,NA,1985-01-13,5.960235082562004,-0.16624190418186302,-0.17,-0.48,1985-01-01
1985-01-21,2.256618028680535,2.256618028680535,NA,NA,1985-01-20,5.960235082562004,-0.16624190418186302,-0.17,-0.5,1985-01-01
1985-01-22,0.1425679610206565,0.1425679610206565,NA,NA,1985-01-20,5.960235082562004,-0.16624190418186302,-0.17,-0.5,1985-01-01
1985-01-23,1.0318176497243314,1.0318176497243314,NA,NA,1985-01-20,5.960235082562004,-0.16624190418186302,-0.17,-0.5,1985-01-01
1985-01-24,-0.33332195677466814,-0.33332195677466814,NA,NA,1985-01-20,5.960235082562004,-0.16624190418186302,-0.17,-0.5,1985-01-01
1985-01-25,0.3615204618148127,0.3615204618148127,NA,NA,1985-01-20,5.960235082562004,-0.16624190418186302,-0.17,-0.5,1985-01-01
1985-01-28,0.02818210025701262,0.02818210025701262,NA,NA,1985-01-27,5.960235082562004,-0.16624190418186302,-0.17,-0.51,1985-01-01
1985-01-29,0.9983812048964147,0.9983812048964147,NA,NA,1985-01-27,5.960235082562004,-0.16624190418186302,-0.17,-0.51,1985-01-01
1985-01-30,0.11713530339809708,0.11713530339809708,NA,NA,1985-01-27,5.960235082562004,-0.16624190418186302,-0.17,-0.51,1985-01-01
1985-01-31,0.1337006479185554,0.1337006479185554,NA,NA,1985-01-27,5.960235082562004,-0.16624190418186302,-0.17,-0.51,1985-01-01
1985-02-01,-0.5582552164126398,-0.5582552164126398,NA,NA,1985-01-27,-4.727173836814114,0.35404372812717355,-0.05,-0.51,1985-02-01
1985-02-04,0.9582785166580621,0.9582785166580621,NA,NA,1985-02-03,-4.727173836814114,0.35404372812717355,-0.05,-0.52,1985-02-01
1985-02-05,0.1440575354171969,0.1440575354171969,NA,NA,1985-02-03,-4.727173836814114,0.35404372812717355,-0.05,-0.52,1985-02-01
1985-02-06,-0.09971638483667888,-0.09971638483667888,NA,NA,1985-02-03,-4.727173836814114,0.35404372812717355,-0.05,-0.52,1985-02-01
